"","Order","Family","Species","CVal_Mean","Chrom#_Mean","CVal_Median","Chrom#_Median"
"1"," Squaliformes","Oxynotidae","Oxynotus centrina",3.55,NA,3.55,NA
"2","Carchariniformes","Carcharhinidae","Carcharhinus acronotus",3.51666666666667,NA,3.5,NA
"3","Carchariniformes","Carcharhinidae","Carcharhinus amblyrhynchos",3.42,NA,3.42,NA
"4","Carchariniformes","Carcharhinidae","Carcharhinus brachyurus",2.86,NA,2.86,NA
"5","Carchariniformes","Carcharhinidae","Carcharhinus galapagensis",4.25,NA,4.25,NA
"6","Carchariniformes","Carcharhinidae","Carcharhinus limbatus",3.6875,NA,3.8,NA
"7","Carchariniformes","Carcharhinidae","Carcharhinus longimanus",3.34,NA,3.34,NA
"8","Carchariniformes","Carcharhinidae","Carcharhinus melanopterus",3,NA,3,NA
"9","Carchariniformes","Carcharhinidae","Carcharhinus obscurus",2.865,NA,2.865,NA
"10","Carchariniformes","Carcharhinidae","Carcharhinus perezi",5.85,NA,5.85,NA
"11","Carchariniformes","Carcharhinidae","Carcharhinus plumbeus",2.98,74,2.98,74
"12","Carchariniformes","Carcharhinidae","Galeocerdo cuvier",4.855,NA,4.54,NA
"13","Carchariniformes","Carcharhinidae","Negaprion brevirostris",3.7,NA,3.7,NA
"14","Carchariniformes","Carcharhinidae","Prionace glauca",4.3,NA,4.3,NA
"15","Carchariniformes","Carcharhinidae","Rhizoprionodon porosus",3.9,NA,3.9,NA
"16","Carchariniformes","Carcharhinidae","Rhizoprionodon terraenovae",3.6,80,3.6,80
"17","Carchariniformes","Carcharhinidae","Triaenodon obesus",2.88,NA,2.88,NA
"18","Carchariniformes","Scyliorhinidae","Cephaloscyllium ventriosum",7.88333333333333,NA,7.7,NA
"19","Carchariniformes","Scyliorhinidae","Galeus melastomus",6.15,NA,6.15,NA
"20","Carchariniformes","Scyliorhinidae","Scyliorhinus canicula",6.575,NA,6.575,NA
"21","Carchariniformes","Scyliorhinidae","Scyliorhinus stellaris",6.15,NA,6.15,NA
"22","Carchariniformes","Sphyrnidae","Sphyrna lewini",3.5775,NA,3.4,NA
"23","Carchariniformes","Sphyrnidae","Sphyrna tiburo",3.9,NA,3.9,NA
"24","Carchariniformes","Triakidae","Galeorhinus galeus",8.65,NA,8.65,NA
"25","Carchariniformes","Triakidae","Mustelus asterias",4.3,NA,4.3,NA
"26","Carchariniformes","Triakidae","Mustelus californicus",6.4,NA,6.4,NA
"27","Carchariniformes","Triakidae","Mustelus canis",4.4,NA,4.4,NA
"28","Carchariniformes","Triakidae","Mustelus norrisi",4.5,NA,4.5,NA
"29","Carchariniformes","Triakidae","Mustelus sp.",4.8,NA,4.8,NA
"30","Carchariniformes","Triakidae","Triakis semifasciata",4.8,72,4.8,72
"31","Chimaeriformes","Callorhinchidae","Callorhinchus milii",1.94,NA,1.94,NA
"32","Chimaeriformes","Chimaeridae","Chimaera sp.",2.01,NA,2.01,NA
"33","Chimaeriformes","Chimaeridae","Hydrolagus colliei",1.555,NA,1.555,NA
"34","Chimaeriformes","Rhinochimaeridae","Rhinochimaera pacifica",1.58,NA,1.58,NA
"35","Heterodontiformes","Heterodontidae","Heterodontus francisci",7.6,NA,7.25,NA
"36","Heterodontiformes","Heterodontidae","Heterodontus japonicus",14.8,102,14.8,102
"37","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus anguineus",4.59,100,4.59,100
"38","Hexanchiformes","Hexanchidae","Hexanchus griseus",5.35,NA,5.35,NA
"39","Hexanchiformes","Hexanchidae","Notorynchus cepedianus",4.4,104,4.4,104
"40","Hexanchiformes","Hexanchidae","Notorynchus maculatus",5.45,NA,5.45,NA
"41","Lamniformes","Lamnidae","Carcharodon carcharias",6.45,82,6.45,82
"42","Lamniformes","Lamnidae","Isurus oxyrinchus",5.86,NA,5.86,NA
"43","Lamniformes","Odontaspididae","Carcharias taurus",6.55,NA,6.55,NA
"44","Myliobatiformes","Dasyatidae","Dasyatis americana",3.65,NA,3.65,NA
"45","Myliobatiformes","Dasyatidae","Dasyatis sabina",3.35,NA,3.35,NA
"46","Myliobatiformes","Dasyatidae","Dasyatis sayi",4.8,NA,4.8,NA
"47","Myliobatiformes","Urotrygonidae","Urobatis halleri",17.05,NA,17.05,NA
"48","Orectolobiformes","Ginglymostomatidae","Ginglymostoma cirratum",3.9,NA,3.9,NA
"49","Orectolobiformes","Ginglymostomatidae","Ginglymostoma cirratum (3x)",5.7,NA,5.7,NA
"50","Orectolobiformes","Ginglymostomatidae","Ginglymostoma cirratum (3x?)",5.45,NA,5.45,NA
"51","Orectolobiformes","Ginglymostomatidae","Nebrius ferrugineus",4.25,NA,4.25,NA
"52","Orectolobiformes","Hemiscyllidae","Chiloscyllium punctatum",4.56,NA,4.56,NA
"53","Orectolobiformes","Hemiscyllidae","Hemiscyllium ocellatum",5.51,NA,5.51,NA
"54","Orectolobiformes","Orectolobidae","Orectolobus ornatus",5.05,NA,5.05,NA
"55","Pristiformes","Pristidae","Pristis pectinata",2.8,NA,2.8,NA
"56","Rajiformes","Dasyatidae","Dasyatis akajei",4.16333333333333,NA,4.15,NA
"57","Rajiformes","Dasyatidae","Dasyatis americana",5.55,78,5.55,78
"58","Rajiformes","Dasyatidae","Dasyatis bennetti",4.775,NA,4.775,NA
"59","Rajiformes","Dasyatidae","Dasyatis centroura",5.25,NA,5.25,NA
"60","Rajiformes","Dasyatidae","Dasyatis chrysonota marmorata",5.8,NA,5.8,NA
"61","Rajiformes","Dasyatidae","Dasyatis gerrardi",4.65,NA,4.65,NA
"62","Rajiformes","Dasyatidae","Dasyatis kuhlii",4.91,64,4.91,64
"63","Rajiformes","Dasyatidae","Dasyatis margarita",5.65,NA,5.65,NA
"64","Rajiformes","Dasyatidae","Dasyatis matsubarai",4.75,64,4.75,64
"65","Rajiformes","Dasyatidae","Dasyatis navarrae",3.93,NA,3.93,NA
"66","Rajiformes","Dasyatidae","Dasyatis sabina",5.05,68,5.05,68
"67","Rajiformes","Dasyatidae","Dasyatis sayi",4.7,68,4.7,68
"68","Rajiformes","Dasyatidae","Dasyatis violacea",5.825,NA,5.825,NA
"69","Rajiformes","Dasyatidae","Himantura signifer",3.41,NA,3.41,NA
"70","Rajiformes","Dasyatidae","Himantura uarnak",4.74,NA,4.74,NA
"71","Rajiformes","Dasyatidae","Taeniura lymma",6.72,NA,6.72,NA
"72","Rajiformes","Gymnuridae","Gymnura bimaculata",5.02,NA,5.02,NA
"73","Rajiformes","Gymnuridae","Gymnura micrura",5.465,NA,5.465,NA
"74","Rajiformes","Hexatrygonidae","Hexatrygon taiwanensis",4.98,NA,4.98,NA
"75","Rajiformes","Myliobatidae","Aetobatus narinari",5.96,NA,5.96,NA
"76","Rajiformes","Myliobatidae","Mobula japonica",4.785,NA,4.785,NA
"77","Rajiformes","Myliobatidae","Mobula tarapacana",5.08,NA,5.08,NA
"78","Rajiformes","Myliobatidae","Myliobatis aquila",5.4,52,5.4,52
"79","Rajiformes","Myliobatidae","Myliobatis californica",5.05,NA,5.05,NA
"80","Rajiformes","Myliobatidae","Myliobatis freminvillii",5.1,NA,5.1,NA
"81","Rajiformes","Myliobatidae","Myliobatis tobijei",4.85,NA,4.85,NA
"82","Rajiformes","Myliobatidae","Rhinoptera bonasus",5,64,5,64
"83","Rajiformes","Myliobatidae","Rhinoptera javanica",5.11,NA,5.11,NA
"84","Rajiformes","Myliobatidae","Rhinoptera sp.",5.2,NA,5.2,NA
"85","Rajiformes","Rajidae","Amblyraja radiata",4.35,NA,4.35,NA
"86","Rajiformes","Rajidae","Bathyraja parmifera",2.73,NA,2.73,NA
"87","Rajiformes","Rajidae","Bathyraja trachura",2.8,NA,2.8,NA
"88","Rajiformes","Rajidae","Dipturus batis",3.1,98,3.1,98
"89","Rajiformes","Rajidae","Dipturus nidarosiensis",4.05,NA,4.05,NA
"90","Rajiformes","Rajidae","Dipturus tengu",3.36,NA,3.36,NA
"91","Rajiformes","Rajidae","Leucoraja circularis",3.65,NA,3.65,NA
"92","Rajiformes","Rajidae","Leucoraja erinacea",3.85333333333333,NA,3.5,NA
"93","Rajiformes","Rajidae","Leucoraja fullonica",3.15,NA,3.15,NA
"94","Rajiformes","Rajidae","Leucoraja naevus",3.2,NA,3.2,NA
"95","Rajiformes","Rajidae","Leucoraja ocellata",3.68,NA,3.68,NA
"96","Rajiformes","Rajidae","Okamejei acutispina",2.91,NA,2.91,NA
"97","Rajiformes","Rajidae","Okamejei hollandi",3.62,NA,3.62,NA
"98","Rajiformes","Rajidae","Okamejei kenojei",3.09,NA,3.09,NA
"99","Rajiformes","Rajidae","Okamejei porosa",3.62,NA,3.62,NA
"100","Rajiformes","Rajidae","Raja asterias",3.88333333333333,NA,3.5,NA
"101","Rajiformes","Rajidae","Raja clavata",2.925,NA,2.925,NA
"102","Rajiformes","Rajidae","Raja eglanteria",3.46666666666667,NA,3.55,NA
"103","Rajiformes","Rajidae","Raja miraletus",3.8,NA,3.8,NA
"104","Rajiformes","Rajidae","Raja montagui",3.45,NA,3.45,NA
"105","Rajiformes","Rajidae","Rajella fyllae",3.75,NA,3.75,NA
"106","Rajiformes","Rhinobatidae","Aptychotrema rostrata",2.99,NA,2.99,NA
"107","Rajiformes","Rhinobatidae","Platyrhina sinensis",4.48,NA,4.48,NA
"108","Rajiformes","Rhinobatidae","Platyrhinoidis triseriata",7.725,NA,7.725,NA
"109","Rajiformes","Rhinobatidae","Rhinobatos cemiculus",4.15,NA,4.15,NA
"110","Rajiformes","Rhinobatidae","Rhinobatos hynnicephalus",3.92,60,3.92,60
"111","Rajiformes","Rhinobatidae","Rhinobatos productus",4,NA,4,NA
"112","Rajiformes","Rhinobatidae","Rhinobatos rhinobatos",4,NA,4,NA
"113","Rajiformes","Rhinobatidae","Rhinobatos schlegelii",2.705,NA,2.705,NA
"114","Rajiformes","Rhinobatidae","Zanobatus schoenleinii",5.85,NA,5.85,NA
"115","Rajiformes","Urolophidae","Urolophus aurantiacus",7.15,NA,7.15,NA
"116","Rajiformes","Urolophidae","Urolophus halleri",6.5,72,6.5,72
"117","Squaliformes","Centrophoridae","Centrophorus squamosus",6.55,NA,6.55,NA
"118","Squaliformes","Centrophoridae","Deania calcea",7.185,NA,7.185,NA
"119","Squaliformes","Dalatiidae","Centroscymnus coelolepis",10.99,NA,10.99,NA
"120","Squaliformes","Dalatiidae","Centroscymnus crepidater",12.29,NA,12.29,NA
"121","Squaliformes","Dalatiidae","Centroscymnus owstoni",10.17,NA,10.17,NA
"122","Squaliformes","Dalatiidae","Centroscymnus plunketi",9.76,NA,9.76,NA
"123","Squaliformes","Dalatiidae","Dalatias licha",9.1,NA,9.1,NA
"124","Squaliformes","Dalatiidae","Etmopterus brachyurus",11.89,NA,11.89,NA
"125","Squaliformes","Dalatiidae","Etmopterus granulosus",12.71,NA,12.71,NA
"126","Squaliformes","Dalatiidae","Etmopterus pusillus",8.11,86,8.11,86
"127","Squaliformes","Dalatiidae","Etmopterus spinax",16.15,86,16.15,86
"128","Squaliformes","Dalatiidae","Oxynotus bruniensis",12.49,NA,12.49,NA
"129","Squaliformes","Dalatiidae","Oxynotus centrina",17.05,62,17.05,62
"130","Squaliformes","Dalatiidae","Scymnodon ringens",8.2,NA,8.2,NA
"131","Squaliformes","Dalatiidae","Somniosus microcephalus",10.62,NA,10.62,NA
"132","Squaliformes","Squalidae","Squalus acanthias",6.576,NA,6.88,NA
"133","Squatiniformes","Squatinidae","Squatina australis",16.41,NA,16.41,NA
"134","Squatiniformes","Squatinidae","Squatina californica",9.3,88,9.3,88
"135","Squatiniformes","Squatinidae","Squatina squatina",9.8,NA,9.8,NA
"136","Torpediniformes","Narcinidae","Benthobatis moresbyi",7.37,NA,7.37,NA
"137","Torpediniformes","Narcinidae","Crassinarke dormitor",12.04,NA,12.04,NA
"138","Torpediniformes","Narcinidae","Narcine brasiliensis",4.2,28,4.2,28
"139","Torpediniformes","Torpedinidae","Torpedo californica",7.3,82,7.3,82
"140","Torpediniformes","Torpedinidae","Torpedo marmorata",7,NA,7,NA
"141","Torpediniformes","Torpedinidae","Torpedo nobiliana",7.06,NA,7.06,NA
"142","Torpediniformes","Torpedinidae","Torpedo torpedo",7.56666666666667,NA,7.5,NA
