,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
1,Acipenseriformes,Acipenseridae,Acipenser baerii,4.45,NA,4.45,NA
2,Acipenseriformes,Acipenseridae,Acipenser baerii baerii,4.15,248,4.15,248
3,Acipenseriformes,Acipenseridae,Acipenser brevirostrum,6.715,NA,6.715,NA
4,Acipenseriformes,Acipenseridae,Acipenser brevirostrum (3x),9.32,NA,9.32,NA
5,Acipenseriformes,Acipenseridae,Acipenser fulvescens,4.45,NA,4.45,NA
6,Acipenseriformes,Acipenseridae,Acipenser gueldenstaedtii,3.94,NA,3.94,NA
7,Acipenseriformes,Acipenseridae,Acipenser medirostris,5.79,NA,5.79,NA
8,Acipenseriformes,Acipenseridae,Acipenser naccarii,3.545,NA,3.545,NA
9,Acipenseriformes,Acipenseridae,Acipenser nudiventris,1.97,118,1.97,118
10,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus,2.19,NA,2.19,NA
11,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus  (3x),3.36,NA,3.36,NA
12,Acipenseriformes,Acipenseridae,Acipenser oxyrhynchus desotoi,2.28,NA,2.28,NA
13,Acipenseriformes,Acipenseridae,Acipenser ruthenus,1.865,NA,1.865,NA
14,Acipenseriformes,Acipenseridae,Acipenser stellatus,2.346666667,NA,2.35,NA
15,Acipenseriformes,Acipenseridae,Acipenser sturio,2.45,NA,1.8,NA
16,Acipenseriformes,Acipenseridae,Acipenser transmontanus,4.915,NA,4.915,NA
17,Acipenseriformes,Acipenseridae,Huso dauricus,1.89,60,1.89,60
18,Acipenseriformes,Acipenseridae,Huso huso,1.51,NA,1.51,NA
19,Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus kaufmanni,1.74,NA,1.74,NA
20,Acipenseriformes,Acipenseridae,Scaphirhynchus platorynchus,2.06,NA,2.06,NA
21,Acipenseriformes,Polyodontidae,Polyodon spathula,1.996666667,NA,1.95,NA
22,Amiiformes,Amiidae,Amia calva,1.19,NA,1.15,NA
23,Anguilliformes,Anguillidae,Anguilla anguilla,1.4,NA,1.4,NA
24,Anguilliformes,Anguillidae,Anguilla japonica,1.09,NA,1.09,NA
25,Anguilliformes,Anguillidae,Anguilla rostrata,1.356666667,NA,1.4,NA
26,Anguilliformes,Chlopsidae,Ophichthus cephalozona,1.96,NA,1.96,NA
27,Anguilliformes,Congridae,Ariosoma anago,1.8,38,1.8,38
28,Anguilliformes,Congridae,Conger conger,1.66,38,1.66,38
29,Anguilliformes,Congridae,Conger japonicus,1.21,38,1.21,38
30,Anguilliformes,Congridae,Conger myriaster,1.22,38,1.22,38
31,Anguilliformes,Muraenesocidae,Muraenesox cinereus,1.13,NA,1.13,NA
32,Anguilliformes,Muraenidae,Enchelycore pardalis,2.3,42,2.3,42
