"","X","Order","Family","Species","CVal_Mean","Chrom._Mean","CVal_Median","Chrom._Median"
"2",2,"Carchariniformes","Carcharhinidae","Carcharhinus acronotus",3.51666666666667,NA,3.5,NA
"3",3,"Carchariniformes","Carcharhinidae","Carcharhinus amblyrhynchos",3.42,NA,3.42,NA
"4",4,"Carchariniformes","Carcharhinidae","Carcharhinus brachyurus",2.86,NA,2.86,NA
"5",5,"Carchariniformes","Carcharhinidae","Carcharhinus galapagensis",4.25,NA,4.25,NA
"6",6,"Carchariniformes","Carcharhinidae","Carcharhinus limbatus",3.6875,NA,3.8,NA
"7",7,"Carchariniformes","Carcharhinidae","Carcharhinus longimanus",3.34,NA,3.34,NA
"8",8,"Carchariniformes","Carcharhinidae","Carcharhinus melanopterus",3,NA,3,NA
"9",9,"Carchariniformes","Carcharhinidae","Carcharhinus obscurus",2.865,NA,2.865,NA
"10",10,"Carchariniformes","Carcharhinidae","Carcharhinus perezi",5.85,NA,5.85,NA
"11",11,"Carchariniformes","Carcharhinidae","Carcharhinus plumbeus",2.98,74,2.98,74
"12",12,"Carchariniformes","Carcharhinidae","Galeocerdo cuvier",4.855,NA,4.54,NA
"13",13,"Carchariniformes","Carcharhinidae","Negaprion brevirostris",3.7,NA,3.7,NA
"14",14,"Carchariniformes","Carcharhinidae","Prionace glauca",4.3,NA,4.3,NA
"15",15,"Carchariniformes","Carcharhinidae","Rhizoprionodon porosus",3.9,NA,3.9,NA
"16",16,"Carchariniformes","Carcharhinidae","Rhizoprionodon terraenovae",3.6,80,3.6,80
"17",17,"Carchariniformes","Carcharhinidae","Triaenodon obesus",2.88,NA,2.88,NA
"18",18,"Carchariniformes","Scyliorhinidae","Cephaloscyllium ventriosum",7.88333333333333,NA,7.7,NA
"19",19,"Carchariniformes","Scyliorhinidae","Galeus melastomus",6.15,NA,6.15,NA
"20",20,"Carchariniformes","Scyliorhinidae","Scyliorhinus canicula",6.575,NA,6.575,NA
"21",21,"Carchariniformes","Scyliorhinidae","Scyliorhinus stellaris",6.15,NA,6.15,NA
"22",22,"Carchariniformes","Sphyrnidae","Sphyrna lewini",3.5775,NA,3.4,NA
"23",23,"Carchariniformes","Sphyrnidae","Sphyrna tiburo",3.9,NA,3.9,NA
"24",24,"Carchariniformes","Triakidae","Galeorhinus galeus",8.65,NA,8.65,NA
"25",25,"Carchariniformes","Triakidae","Mustelus asterias",4.3,NA,4.3,NA
"26",26,"Carchariniformes","Triakidae","Mustelus californicus",6.4,NA,6.4,NA
"27",27,"Carchariniformes","Triakidae","Mustelus canis",4.4,NA,4.4,NA
"28",28,"Carchariniformes","Triakidae","Mustelus norrisi",4.5,NA,4.5,NA
"29",29,"Carchariniformes","Triakidae","Mustelus sp.",4.8,NA,4.8,NA
"30",30,"Carchariniformes","Triakidae","Triakis semifasciata",4.8,72,4.8,72
