,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
233,Cypriniformes,Cyprinidae,Abbottina rivularis,1.54,50,1.54,50
234,Cypriniformes,Cyprinidae,Abramis ballerus,1.17,NA,1.17,NA
235,Cypriniformes,Cyprinidae,Abramis brama,1.32,NA,1.3,NA
236,Cypriniformes,Cyprinidae,Abramis sapa,1.1,50,1.1,50
237,Cypriniformes,Cyprinidae,Acheilognathus chankaensis,1,44,1,44
238,Cypriniformes,Cyprinidae,Acheilognathus limbatus,0.98,NA,0.98,NA
239,Cypriniformes,Cyprinidae,Acheilognathus rhombeus,1.09,NA,1.09,NA
240,Cypriniformes,Cyprinidae,Acheilognathus tabira,0.95,NA,0.95,NA
241,Cypriniformes,Cyprinidae,Acheilognathus typus,0.95,44,0.95,44
242,Cypriniformes,Cyprinidae,Acrossocheilus yunnanensis,1.25,50,1.25,50
243,Cypriniformes,Cyprinidae,Alburnus alburnus,1.39,NA,1.38,NA
244,Cypriniformes,Cyprinidae,Anaecypris hispanica,1.24,50,1.24,50
245,Cypriniformes,Cyprinidae,Aphyocypris chinensis,1.15,48,1.15,48
246,Cypriniformes,Cyprinidae,Aristichthys nobilis,1.03,NA,1.03,NA
247,Cypriniformes,Cyprinidae,Aspius aspius,1.24,NA,1.24,NA
248,Cypriniformes,Cyprinidae,Balantiocheilus melanopterus,1.03,NA,1.03,NA
249,Cypriniformes,Cyprinidae,Barbodes chonglingchungi,1.15,50,1.15,50
250,Cypriniformes,Cyprinidae,Barbodes gonionotus,1.1,50,1.1,50
251,Cypriniformes,Cyprinidae,Barbodes schwanenfeldii,1.1,NA,1.1,NA
252,Cypriniformes,Cyprinidae,Barbus barbus,1.8,NA,1.78,NA
253,Cypriniformes,Cyprinidae,Barbus bocagei,1.91,100,1.91,100
254,Cypriniformes,Cyprinidae,Barbus comizo,1.36,100,1.36,100
255,Cypriniformes,Cyprinidae,Barbus microcephalus,1.87,100,1.87,100
256,Cypriniformes,Cyprinidae,Barbus sclateri,1.83,100,1.83,100
257,Cypriniformes,Cyprinidae,Barbus steindachneri,1.82,100,1.82,100
258,Cypriniformes,Cyprinidae,Blicca bjoerkna,1.26,50,1.26,50
259,Cypriniformes,Cyprinidae,Campostoma anomalum,1.15,50,1.15,50
260,Cypriniformes,Cyprinidae,Campostoma oligolepis,1.13,50,1.13,50
261,Cypriniformes,Cyprinidae,Carassius auratus auratus,1.8,NA,1.78,NA
262,Cypriniformes,Cyprinidae,Carassius auratus auratus (3x),2.41,NA,2.38,NA
263,Cypriniformes,Cyprinidae,Carassius auratus langsdorfi,1.7,100,1.7,100
264,Cypriniformes,Cyprinidae,Carassius auratus ssp.,1.94,100,1.94,100
265,Cypriniformes,Cyprinidae,Carassius auratus ssp.1,1.5,100,1.5,100
266,Cypriniformes,Cyprinidae,Carassius auratus ssp.2,1.85,100,1.85,100
267,Cypriniformes,Cyprinidae,Carassius carassius,2.01,NA,2.01,NA
268,Cypriniformes,Cyprinidae,Carassius cuvieri,2.31,NA,2.31,NA
269,Cypriniformes,Cyprinidae,Carassius gibelio,2.55,NA,2.77,NA
270,Cypriniformes,Cyprinidae,Catla catla,2.45,50,2.45,50
271,Cypriniformes,Cyprinidae,Catlocarpio siamensis,1.76,98,1.76,98
272,Cypriniformes,Cyprinidae,Chela caeruleostigmata,1.6,48,1.6,48
273,Cypriniformes,Cyprinidae,Chondrostoma duriense,1.34,50,1.34,50
274,Cypriniformes,Cyprinidae,Chondrostoma nasus,1.38,50,1.38,50
275,Cypriniformes,Cyprinidae,Chondrostoma polylepis polylepis,1.33,50,1.33,50
276,Cypriniformes,Cyprinidae,Chondrostoma toxostoma,1.3,50,1.3,50
277,Cypriniformes,Cyprinidae,Chondrostoma willkommii,1.37,50,1.37,50
278,Cypriniformes,Cyprinidae,Cirrhinus mrigala,1.05,50,1.05,50
279,Cypriniformes,Cyprinidae,Ctenopharyngodon idellus,1.03,NA,1.02,NA
280,Cypriniformes,Cyprinidae,Culter erythropterus,1.18,48,1.18,48
281,Cypriniformes,Cyprinidae,Culter mongolicus mongolicus,1.12,48,1.12,48
282,Cypriniformes,Cyprinidae,Cyprinella callistia,1.03,50,1.03,50
283,Cypriniformes,Cyprinidae,Cyprinella camura,1.2,50,1.2,50
284,Cypriniformes,Cyprinidae,Cyprinella lepida,1.27,50,1.27,50
285,Cypriniformes,Cyprinidae,Cyprinella lutrensis,1.19,50,1.19,50
286,Cypriniformes,Cyprinidae,Cyprinella proserpina,1.45,50,1.45,50
