"","Phylum","Sub Phylum","Class","Order","Family","Species","CommonName","C-value","Chromnum","Method","Celltype","Stdsp","References","References"
"3","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser baerii","Siberian sturgeon","4.45","","FIA","RBC","GD","Bytyutskyy, D., J. Srp, and M. Flajshans (2012). Use of Feulgen image analysis densitometry to study the effect of genome size on nuclear size in polyploid sturgeons. Journal of Applied Ichthyology 28: 704-708.",""
"4","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser baerii baerii","Siberian sturgeon","4.15","248.00","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"5","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser brevirostrum","Shortnose sturgeon","6.54","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"6","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser brevirostrum","Shortnose sturgeon","6.89","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"7","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser brevirostrum (3x)","Shortnose sturgeon","9.32","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"8","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser fulvescens","Lake sturgeon","4.45","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"9","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser gueldenstaedtii","Russian sturgeon","3.94","250.00","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"10","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser gueldenstaedtii","Russian sturgeon","3.94","","FIA","RBC","GD","Bytyutskyy, D., J. Srp, and M. Flajshans (2012). Use of Feulgen image analysis densitometry to study the effect of genome size on nuclear size in polyploid sturgeons. Journal of Applied Ichthyology 28: 704-708.",""
"11","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser medirostris","Green sturgeon","4.41","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"12","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser medirostris","Green sturgeon","7.17","","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"13","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser naccarii","Adriatic sturgeon","2.85","239.00","FD","RBC","TT","Fontana, F. (1976). Nuclear DNA content and cytometry of erythrocytes of Huso huso L., Acipenser sturio L. and Acipenser naccarii Bonaparte. Caryologia 29: 127-137.",""
"14","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser naccarii","Adriatic sturgeon","4.24","","NS","NS","GD","Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",""
"15","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser nudiventris","Fringebarbel sturgeon","1.97","118.00","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"16","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser oxyrhynchus","Atlantic sturgeon","2.19","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"17","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser oxyrhynchus  (3x)","Atlantic sturgeon","3.36","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"18","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser oxyrhynchus desotoi","Gulf sturgeon","2.28","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"19","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser ruthenus","Sterlet","1.86","","FIA","RBC","GD","Bytyutskyy, D., J. Srp, and M. Flajshans (2012). Use of Feulgen image analysis densitometry to study the effect of genome size on nuclear size in polyploid sturgeons. Journal of Applied Ichthyology 28: 704-708.",""
"20","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser ruthenus","Sterlet","1.87","118.00","FCM","RBC","XL","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"21","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser stellatus","Starry sturgeon","2.34","","FIA","RBC","GD","Bytyutskyy, D., J. Srp, and M. Flajshans (2012). Use of Feulgen image analysis densitometry to study the effect of genome size on nuclear size in polyploid sturgeons. Journal of Applied Ichthyology 28: 704-708.",""
"22","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser stellatus","Starry sturgeon","2.35","118.00","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"23","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser stellatus","Starry sturgeon","2.35","","BCA, UVM","S","NS","Kafiani, K.A., R.I. Tatarskaia, and S.M. Kanopkaite (1958). Phosphorus metabolism in the embryonic development of sturgeon. Biochemistry 23: 389-399.",""
"24","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser sturio","Sturgeon","1.60","116.00","FD","RBC","GD","Mirsky, A.E. and H. Ris (1951). The desoxyribonucleic acid content of animal cells and its evolutionary significance. Journal of General Physiology 34: 451-462.",""
"25","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser sturio","Sturgeon","1.80","","FD","RBC","TT","Fontana, F. (1976). Nuclear DNA content and cytometry of erythrocytes of Huso huso L., Acipenser sturio L. and Acipenser naccarii Bonaparte. Caryologia 29: 127-137.",""
