"","Order","Family","Species","CVal_Mean","Chrom#_Mean","CVal_Median","Chrom#_Median"
"56","Rajiformes","Dasyatidae","Dasyatis akajei",4.16333333333333,NA,4.15,NA
"57","Rajiformes","Dasyatidae","Dasyatis americana",5.55,78,5.55,78
"58","Rajiformes","Dasyatidae","Dasyatis bennetti",4.775,NA,4.775,NA
"59","Rajiformes","Dasyatidae","Dasyatis centroura",5.25,NA,5.25,NA
"60","Rajiformes","Dasyatidae","Dasyatis chrysonota marmorata",5.8,NA,5.8,NA
"61","Rajiformes","Dasyatidae","Dasyatis gerrardi",4.65,NA,4.65,NA
"62","Rajiformes","Dasyatidae","Dasyatis kuhlii",4.91,64,4.91,64
"63","Rajiformes","Dasyatidae","Dasyatis margarita",5.65,NA,5.65,NA
"64","Rajiformes","Dasyatidae","Dasyatis matsubarai",4.75,64,4.75,64
"65","Rajiformes","Dasyatidae","Dasyatis navarrae",3.93,NA,3.93,NA
"66","Rajiformes","Dasyatidae","Dasyatis sabina",5.05,68,5.05,68
"67","Rajiformes","Dasyatidae","Dasyatis sayi",4.7,68,4.7,68
"68","Rajiformes","Dasyatidae","Dasyatis violacea",5.825,NA,5.825,NA
"69","Rajiformes","Dasyatidae","Himantura signifer",3.41,NA,3.41,NA
"70","Rajiformes","Dasyatidae","Himantura uarnak",4.74,NA,4.74,NA
"71","Rajiformes","Dasyatidae","Taeniura lymma",6.72,NA,6.72,NA
"72","Rajiformes","Gymnuridae","Gymnura bimaculata",5.02,NA,5.02,NA
"73","Rajiformes","Gymnuridae","Gymnura micrura",5.465,NA,5.465,NA
"74","Rajiformes","Hexatrygonidae","Hexatrygon taiwanensis",4.98,NA,4.98,NA
"75","Rajiformes","Myliobatidae","Aetobatus narinari",5.96,NA,5.96,NA
"76","Rajiformes","Myliobatidae","Mobula japonica",4.785,NA,4.785,NA
"77","Rajiformes","Myliobatidae","Mobula tarapacana",5.08,NA,5.08,NA
"78","Rajiformes","Myliobatidae","Myliobatis aquila",5.4,52,5.4,52
"79","Rajiformes","Myliobatidae","Myliobatis californica",5.05,NA,5.05,NA
"80","Rajiformes","Myliobatidae","Myliobatis freminvillii",5.1,NA,5.1,NA
"81","Rajiformes","Myliobatidae","Myliobatis tobijei",4.85,NA,4.85,NA
"82","Rajiformes","Myliobatidae","Rhinoptera bonasus",5,64,5,64
"83","Rajiformes","Myliobatidae","Rhinoptera javanica",5.11,NA,5.11,NA
"84","Rajiformes","Myliobatidae","Rhinoptera sp.",5.2,NA,5.2,NA
"85","Rajiformes","Rajidae","Amblyraja radiata",4.35,NA,4.35,NA
"86","Rajiformes","Rajidae","Bathyraja parmifera",2.73,NA,2.73,NA
"87","Rajiformes","Rajidae","Bathyraja trachura",2.8,NA,2.8,NA
"88","Rajiformes","Rajidae","Dipturus batis",3.1,98,3.1,98
"89","Rajiformes","Rajidae","Dipturus nidarosiensis",4.05,NA,4.05,NA
"90","Rajiformes","Rajidae","Dipturus tengu",3.36,NA,3.36,NA
"91","Rajiformes","Rajidae","Leucoraja circularis",3.65,NA,3.65,NA
"92","Rajiformes","Rajidae","Leucoraja erinacea",3.85333333333333,NA,3.5,NA
"93","Rajiformes","Rajidae","Leucoraja fullonica",3.15,NA,3.15,NA
"94","Rajiformes","Rajidae","Leucoraja naevus",3.2,NA,3.2,NA
"95","Rajiformes","Rajidae","Leucoraja ocellata",3.68,NA,3.68,NA
"96","Rajiformes","Rajidae","Okamejei acutispina",2.91,NA,2.91,NA
"97","Rajiformes","Rajidae","Okamejei hollandi",3.62,NA,3.62,NA
"98","Rajiformes","Rajidae","Okamejei kenojei",3.09,NA,3.09,NA
"99","Rajiformes","Rajidae","Okamejei porosa",3.62,NA,3.62,NA
"100","Rajiformes","Rajidae","Raja asterias",3.88333333333333,NA,3.5,NA
"101","Rajiformes","Rajidae","Raja clavata",2.925,NA,2.925,NA
"102","Rajiformes","Rajidae","Raja eglanteria",3.46666666666667,NA,3.55,NA
"103","Rajiformes","Rajidae","Raja miraletus",3.8,NA,3.8,NA
"104","Rajiformes","Rajidae","Raja montagui",3.45,NA,3.45,NA
"105","Rajiformes","Rajidae","Rajella fyllae",3.75,NA,3.75,NA
"106","Rajiformes","Rhinobatidae","Aptychotrema rostrata",2.99,NA,2.99,NA
"107","Rajiformes","Rhinobatidae","Platyrhina sinensis",4.48,NA,4.48,NA
"108","Rajiformes","Rhinobatidae","Platyrhinoidis triseriata",7.725,NA,7.725,NA
"109","Rajiformes","Rhinobatidae","Rhinobatos cemiculus",4.15,NA,4.15,NA
"110","Rajiformes","Rhinobatidae","Rhinobatos hynnicephalus",3.92,60,3.92,60
"111","Rajiformes","Rhinobatidae","Rhinobatos productus",4,NA,4,NA
"112","Rajiformes","Rhinobatidae","Rhinobatos rhinobatos",4,NA,4,NA
"113","Rajiformes","Rhinobatidae","Rhinobatos schlegelii",2.705,NA,2.705,NA
"114","Rajiformes","Rhinobatidae","Zanobatus schoenleinii",5.85,NA,5.85,NA
"115","Rajiformes","Urolophidae","Urolophus aurantiacus",7.15,NA,7.15,NA
"116","Rajiformes","Urolophidae","Urolophus halleri",6.5,72,6.5,72
