,Order,Family,Species,CVal_Mean,Chrom#_Mean,CVal_Median,ChromNumber_Median
1177,Salmoniformes,Salmonidae,Coregonus artedi,3.25,NA,3.25,NA
1178,Salmoniformes,Salmonidae,Coregonus autumnalis autumnalis,3.11,NA,3.11,NA
1179,Salmoniformes,Salmonidae,Coregonus clupeaformis,2.94,NA,2.94,NA
1180,Salmoniformes,Salmonidae,Coregonus fera,2.88,NA,2.88,NA
1181,Salmoniformes,Salmonidae,Coregonus hoyi,2.77,80,2.77,80
1182,Salmoniformes,Salmonidae,Coregonus kiyi,3.29,NA,3.29,NA
1183,Salmoniformes,Salmonidae,Coregonus macropthalmus,3.02,NA,3.02,NA
1184,Salmoniformes,Salmonidae,Coregonus nasus,3.54,96,3.54,96
1185,Salmoniformes,Salmonidae,Coregonus reighardi,3.01,80,3.01,80
1186,Salmoniformes,Salmonidae,Coregonus zenithicus,2.63,80,2.63,80
1187,Salmoniformes,Salmonidae,Oncorhynchus aguabonita,2.52,NA,2.52,NA
1188,Salmoniformes,Salmonidae,Oncorhynchus clarki bouvieri,2.52,64,2.52,64
1189,Salmoniformes,Salmonidae,Oncorhynchus clarki clarki,2.62,64,2.62,64
1190,Salmoniformes,Salmonidae,Oncorhynchus gorbuscha,2.40,NA,2.40,NA
1191,Salmoniformes,Salmonidae,Oncorhynchus keta,2.63,NA,2.64,NA
1192,Salmoniformes,Salmonidae,Oncorhynchus kisutch,2.88,NA,3.00,NA
1193,Salmoniformes,Salmonidae,Oncorhynchus masou,2.63,NA,2.53,NA
1194,Salmoniformes,Salmonidae,Oncorhynchus masou macrostomus,2.96,66,2.96,66
1195,Salmoniformes,Salmonidae,Oncorhynchus masou rhodurus,2.16,66,2.16,66
1196,Salmoniformes,Salmonidae,Oncorhynchus mykiss,2.65,NA,2.75,NA
1197,Salmoniformes,Salmonidae,Oncorhynchus nerka,2.92,NA,2.96,NA
1198,Salmoniformes,Salmonidae,Oncorhynchus sp.,3.21,NA,3.21,NA
1199,Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,2.78,NA,2.58,NA
1200,Salmoniformes,Salmonidae,Prosopium coulteri,2.53,82,2.53,82
1201,Salmoniformes,Salmonidae,Prosopium cylindraceum,2.23,NA,2.23,NA
1202,Salmoniformes,Salmonidae,Salmo fibreni,3.18,NA,3.18,NA
1203,Salmoniformes,Salmonidae,Salmo salar,3.12,NA,3.10,NA
1204,Salmoniformes,Salmonidae,Salmo salar (3x),4.90,NA,4.90,NA
1205,Salmoniformes,Salmonidae,Salmo trutta fario,3.03,NA,3.03,NA
1206,Salmoniformes,Salmonidae,Salmo trutta macrostigma,3.19,80,3.19,80
1207,Salmoniformes,Salmonidae,Salmo trutta trutta,2.86,NA,2.95,NA
1208,Salmoniformes,Salmonidae,Salvelinus alpinus,3.33,NA,3.36,NA
1209,Salmoniformes,Salmonidae,Salvelinus fontinalis,3.22,NA,3.26,NA
1210,Salmoniformes,Salmonidae,Salvelinus leucomaenis leucomaenis,3.75,84,3.75,84
1211,Salmoniformes,Salmonidae,Salvelinus namaycush,3.04,NA,3.04,NA
1212,Salmoniformes,Salmonidae,Stenodus leucichthys,3.27,74,3.27,74
1213,Salmoniformes,Salmonidae,Thymallus arcticus,1.99,NA,1.99,NA
1214,Salmoniformes,Salmonidae,Thymallus thymallus,2.15,102,2.15,102
1215,Salmoniformes,Umbridae,Dallia pectoralis,1.26,78,1.26,78
1216,Salmoniformes,Umbridae,Novumbra hubbsi,1.04,48,1.04,48
1217,Salmoniformes,Umbridae,Umbra limi,2.59,NA,2.56,NA
1218,Salmoniformes,Umbridae,Umbra pygmaea,2.41,22,2.41,22
